City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,kaka,37.3482,59.6143,274.05,64,26,2.93,TM,1702358344
277,chui,-33.6971,-53.4616,291.08,95,80,3.45,UY,1702358344
278,geraldton,-28.7667,114.6,310.38,12,0,8.23,AU,1702358345
279,sooke,48.3746,-123.7276,280.69,90,39,6.17,CA,1702358345
280,chyorny yar,48.0624,46.1091,266.6,64,100,10.79,RU,1702358346
281,colac,-38.3333,143.5833,300.97,46,66,4.7,AU,1702358346
282,igaci,-9.5369,-36.6336,294.58,88,19,3.58,BR,1702358346
283,umluj,25.0213,37.2685,297.92,71,57,3.4,SA,1702358347
284,el calafate,-50.3408,-72.2768,280.75,69,43,4.55,AR,1702358348
285,cherdyn',60.403,56.4787,248.22,86,100,4.36,RU,1702358348
286,praia da vitoria,38.7333,-27.0667,287.29,77,20,5.78,PT,1702358349
287,muroto-misakicho,33.2833,134.15,292.6,81,38,1.52,JP,1702358349
288,nemuro,43.3236,145.575,274.77,99,100,4.65,JP,1702358350
289,castillos,-34.1667,-53.8333,290.63,96,96,3.12,UY,1702358350
290,adam,22.3756,57.5233,294.35,49,7,1.74,OM,1702358350
291,alexandroupoli,40.8475,25.8744,280.05,100,40,0.0,GR,1702358350
292,alesund,62.4723,6.1549,274.23,66,75,6.17,NO,1702358139
293,yorkton,51.2167,-102.4677,262.06,62,0,7.2,CA,1702358351
294,la ronge,55.1001,-105.2842,259.29,72,0,3.09,CA,1702358351
295,ayorou,14.7308,0.9174,291.0,26,0,4.99,NE,1702358352
296,nguigmi,14.2495,13.1092,289.93,37,0,6.01,NE,1702358352
297,ujae,8.9322,165.7642,300.89,73,40,9.95,MH,1702358352
298,weno,7.4515,151.8468,300.12,89,100,3.6,FM,1702358353
299,enewetak,11.3474,162.3373,301.03,77,9,8.27,MH,1702358353
300,baoqing,46.3317,132.2111,257.67,68,46,2.45,CN,1702358354
301,kisujszallas,47.2167,20.7667,278.16,96,89,4.45,HU,1702358354
302,lompoc,34.6391,-120.4579,284.03,95,0,2.57,US,1702358354
303,cambria,35.5641,-121.0808,287.94,86,42,0.89,US,1702358281
304,sittwe,20.15,92.9,297.65,68,1,0.43,MM,1702358355
305,beledweyne,4.7358,45.2036,299.47,63,60,6.32,SO,1702358355
306,trabzon,40.9167,39.8333,283.2,82,75,1.54,TR,1702358355
307,huarmey,-10.0681,-78.1522,293.32,86,15,2.88,PE,1702358356
308,akureyri,65.6835,-18.0878,265.11,86,100,0.0,IS,1702358356
309,san rafael del sur,11.8485,-86.4384,299.69,73,0,5.84,NI,1702358357
310,kidal,18.4411,1.4078,289.56,37,0,8.05,ML,1702358357
311,mombaca,-5.7431,-39.6275,297.96,74,40,3.29,BR,1702358357
312,winneba,5.3511,-0.6231,298.41,88,52,1.64,GH,1702358358
313,verkhovazh'ye,60.7472,42.0465,263.23,92,100,5.11,RU,1702358358
314,jamaame,0.0697,42.745,301.88,69,99,3.52,SO,1702358358
315,khovd,48.0056,91.6419,257.22,78,100,1.19,MN,1702358359
316,portland,45.5234,-122.6762,281.95,90,20,3.13,US,1702358359
317,brookings,44.3114,-96.7984,269.32,72,0,4.12,US,1702358312
318,gumdag,39.2061,54.5906,271.73,30,65,14.91,TM,1702358360
319,isla aguada,18.7833,-91.4667,296.92,69,100,7.21,MX,1702358360
320,ulanhot,46.0833,122.0833,258.44,55,98,1.98,CN,1702358360
321,mae tha,18.4646,99.1403,304.2,53,61,0.62,TH,1702358361
322,uturoa,-16.7333,-151.4333,299.89,78,100,9.93,PF,1702358361
323,ceres,37.5949,-120.9577,281.51,84,0,0.0,US,1702358286
324,gumushacikoy,40.8731,35.2147,278.33,92,100,0.7,TR,1702358362
325,villa gesell,-37.2639,-56.973,293.18,88,7,7.6,AR,1702358296
326,hassi messaoud,31.6804,6.0729,282.07,49,0,2.06,DZ,1702358363
327,las vegas,36.175,-115.1372,283.28,28,0,2.57,US,1702358262
328,banda aceh,5.5577,95.3222,301.69,73,95,1.81,ID,1702358364
329,zhezqazghan,47.7833,67.7667,246.47,58,20,10.0,KZ,1702358364
330,pelabuhanratu,-6.9875,106.5514,304.14,56,43,2.51,ID,1702358364
331,blankenberge,51.3131,3.1323,281.69,79,55,5.15,BE,1702358365
332,ciudad lazaro cardenas,17.9583,-102.2,297.97,62,5,1.98,MX,1702358215
333,lowestoft,52.4752,1.7516,282.72,95,86,5.67,GB,1702358366
